date,description,amount,category,transaction_type,account
2022-06-01,Rent Payment,-1050.58,housing,expense,current
2022-06-02,Deliveroo,-19.94,eating_out,expense,credit_card
2022-06-02,Thames Water,-35.79,utilities,expense,current
2022-06-03,Sainsbury's Local,-10.13,groceries,expense,current
2022-06-03,Pret A Manger,-8.71,eating_out,expense,current
2022-06-03,Trainline,-68.43,transport,expense,credit_card
2022-06-05,Tesco Superstore,-32.33,groceries,expense,current
2022-06-09,Amazon Marketplace,-59.77,shopping,expense,credit_card
2022-06-10,TfL Travel Charge,-4.02,transport,expense,current
2022-06-12,TfL Travel Charge,-14.51,transport,expense,current
2022-06-12,Shell Service Station,-56.89,transport,expense,credit_card
2022-06-14,Aldi Stores,-26.97,groceries,expense,current
2022-06-17,Sainsbury's Local,-22.65,groceries,expense,current
2022-06-18,Tesco Superstore,-73.48,groceries,expense,current
2022-06-18,Sainsbury's Local,-48.34,groceries,expense,current
2022-06-18,Deliveroo,-33.89,eating_out,expense,credit_card
2022-06-18,Spotify,-14.43,subscriptions,expense,current
2022-06-19,Aldi Stores,-31.53,groceries,expense,current
2022-06-19,Council Tax,-178.05,housing,expense,current
2022-06-20,Deliveroo,-37.42,eating_out,expense,credit_card
2022-06-20,TfL Travel Charge,-13.78,transport,expense,current
2022-06-21,Sainsbury's Local,-21.32,groceries,expense,current
2022-06-21,Netflix,-17.55,subscriptions,expense,current
2022-06-21,Amazon Marketplace,-118.83,shopping,expense,credit_card
2022-06-22,Tesco Superstore,-73.13,groceries,expense,current
2022-06-22,Shell Service Station,-56.32,transport,expense,credit_card
2022-06-23,TfL Travel Charge,-10.51,transport,expense,current
2022-06-25,Salary Payroll,3153.37,income,income,current
2022-06-25,Pret A Manger,-7.01,eating_out,expense,current
2022-06-25,Octopus Energy,-112.29,utilities,expense,current
2022-06-26,Aldi Stores,-15.49,groceries,expense,current
2022-06-27,Shell Service Station,-62.20,transport,expense,credit_card
2022-06-28,Aldi Stores,-35.86,groceries,expense,current
2022-06-28,Trainline,-74.44,transport,expense,credit_card
2022-07-01,Pret A Manger,-16.05,eating_out,expense,current
2022-07-01,TfL Travel Charge,-5.06,transport,expense,current
2022-07-01,Rent Payment,-1265.83,housing,expense,current
2022-07-03,Sainsbury's Local,-42.14,groceries,expense,current
2022-07-04,Pret A Manger,-13.52,eating_out,expense,current
2022-07-04,Netflix,-14.54,subscriptions,expense,current
2022-07-05,Tesco Superstore,-65.36,groceries,expense,current
2022-07-05,Sainsbury's Local,-74.82,groceries,expense,current
2022-07-08,Tesco Superstore,-33.99,groceries,expense,current
2022-07-08,Sainsbury's Local,-34.76,groceries,expense,current
2022-07-11,Octopus Energy,-75.07,utilities,expense,current
2022-07-12,Thames Water,-31.80,utilities,expense,current
2022-07-13,Aldi Stores,-59.73,groceries,expense,current
2022-07-14,Aldi Stores,-74.41,groceries,expense,current
2022-07-14,TfL Travel Charge,-4.45,transport,expense,current
2022-07-18,Tesco Superstore,-73.83,groceries,expense,current
2022-07-18,Pret A Manger,-11.41,eating_out,expense,current
2022-07-18,Pret A Manger,-13.54,eating_out,expense,current
2022-07-19,Sainsbury's Local,-36.71,groceries,expense,current
2022-07-21,Spotify,-12.08,subscriptions,expense,current
2022-07-25,Salary Payroll,3414.00,income,income,current
2022-07-25,Amazon Marketplace,-25.12,shopping,expense,credit_card
2022-07-28,Sainsbury's Local,-58.64,groceries,expense,current
2022-07-29,TfL Travel Charge,-15.40,transport,expense,current
2022-07-29,Council Tax,-109.63,housing,expense,current
2022-07-30,Tesco Superstore,-44.84,groceries,expense,current
2022-07-31,Amazon Marketplace,-26.09,shopping,expense,credit_card
2022-08-01,Rent Payment,-933.16,housing,expense,current
2022-08-02,Pret A Manger,-4.94,eating_out,expense,current
2022-08-03,Pret A Manger,-16.03,eating_out,expense,current
2022-08-04,TfL Travel Charge,-8.29,transport,expense,current
2022-08-04,Trainline,-83.84,transport,expense,credit_card
2022-08-04,Shell Service Station,-83.04,transport,expense,credit_card
2022-08-05,Tesco Superstore,-56.21,groceries,expense,current
2022-08-05,Shell Service Station,-67.18,transport,expense,credit_card
2022-08-06,Tesco Superstore,-90.59,groceries,expense,current
2022-08-07,Sainsbury's Local,-36.35,groceries,expense,current
2022-08-07,Sainsbury's Local,-56.91,groceries,expense,current
2022-08-07,Deliveroo,-32.07,eating_out,expense,credit_card
2022-08-07,Shell Service Station,-49.92,transport,expense,credit_card
2022-08-08,Aldi Stores,-48.86,groceries,expense,current
2022-08-08,Aldi Stores,-32.26,groceries,expense,current
2022-08-08,Netflix,-12.94,subscriptions,expense,current
2022-08-11,Aldi Stores,-31.85,groceries,expense,current
2022-08-13,Sainsbury's Local,-55.77,groceries,expense,current
2022-08-13,Council Tax,-122.10,housing,expense,current
2022-08-14,Trainline,-37.86,transport,expense,credit_card
2022-08-16,Tesco Superstore,-22.66,groceries,expense,current
2022-08-18,Aldi Stores,-16.58,groceries,expense,current
2022-08-19,Deliveroo,-40.07,eating_out,expense,credit_card
2022-08-21,Sainsbury's Local,-74.68,groceries,expense,current
2022-08-21,Trainline,-15.95,transport,expense,credit_card
2022-08-23,Aldi Stores,-15.54,groceries,expense,current
2022-08-24,Deliveroo,-28.18,eating_out,expense,credit_card
2022-08-24,Trainline,-46.09,transport,expense,credit_card
2022-08-25,Salary Payroll,3074.09,income,income,current
2022-08-25,Tesco Superstore,-79.73,groceries,expense,current
2022-08-25,Sainsbury's Local,-70.24,groceries,expense,current
2022-08-25,Thames Water,-31.17,utilities,expense,current
2022-08-26,TfL Travel Charge,-13.20,transport,expense,current
2022-08-26,Spotify,-10.52,subscriptions,expense,current
2022-08-27,Octopus Energy,-189.92,utilities,expense,current
2022-09-01,Octopus Energy,-182.61,utilities,expense,current
2022-09-01,Rent Payment,-956.58,housing,expense,current
2022-09-02,Pret A Manger,-7.05,eating_out,expense,current
2022-09-03,Deliveroo,-14.06,eating_out,expense,credit_card
2022-09-04,Thames Water,-61.95,utilities,expense,current
2022-09-05,Amazon Marketplace,-37.75,shopping,expense,credit_card
2022-09-06,Deliveroo,-37.58,eating_out,expense,credit_card
2022-09-06,Deliveroo,-14.40,eating_out,expense,credit_card
2022-09-09,Tesco Superstore,-93.78,groceries,expense,current
2022-09-10,Pret A Manger,-6.17,eating_out,expense,current
2022-09-10,Amazon Marketplace,-83.23,shopping,expense,credit_card
2022-09-11,Pret A Manger,-4.85,eating_out,expense,current
2022-09-16,Pret A Manger,-13.27,eating_out,expense,current
2022-09-17,Deliveroo,-13.71,eating_out,expense,credit_card
2022-09-17,Netflix,-15.08,subscriptions,expense,current
2022-09-18,Pret A Manger,-12.11,eating_out,expense,current
2022-09-19,TfL Travel Charge,-10.41,transport,expense,current
2022-09-22,Spotify,-11.82,subscriptions,expense,current
2022-09-25,Salary Payroll,3442.69,income,income,current
2022-09-29,TfL Travel Charge,-8.25,transport,expense,current
2022-09-29,Council Tax,-179.66,housing,expense,current
2022-09-30,Deliveroo,-26.30,eating_out,expense,credit_card
2022-10-01,Rent Payment,-1028.90,housing,expense,current
2022-10-02,Deliveroo,-39.24,eating_out,expense,credit_card
2022-10-02,TfL Travel Charge,-13.78,transport,expense,current
2022-10-02,Spotify,-11.03,subscriptions,expense,current
2022-10-05,Aldi Stores,-85.42,groceries,expense,current
2022-10-05,Pret A Manger,-14.39,eating_out,expense,current
2022-10-09,TfL Travel Charge,-4.70,transport,expense,current
2022-10-10,Tesco Superstore,-57.09,groceries,expense,current
2022-10-10,Octopus Energy,-89.66,utilities,expense,current
2022-10-11,Deliveroo,-18.32,eating_out,expense,credit_card
2022-10-12,Council Tax,-158.35,housing,expense,current
2022-10-15,TfL Travel Charge,-5.10,transport,expense,current
2022-10-17,Deliveroo,-37.59,eating_out,expense,credit_card
2022-10-18,Sainsbury's Local,-52.75,groceries,expense,current
2022-10-21,Deliveroo,-18.11,eating_out,expense,credit_card
2022-10-25,Salary Payroll,2525.67,income,income,current
2022-10-25,TfL Travel Charge,-3.05,transport,expense,current
2022-10-26,Tesco Superstore,-62.77,groceries,expense,current
2022-10-27,Tesco Superstore,-25.09,groceries,expense,current
2022-10-28,Thames Water,-59.72,utilities,expense,current
2022-10-29,Deliveroo,-26.66,eating_out,expense,credit_card
2022-10-29,Netflix,-11.52,subscriptions,expense,current
2022-11-01,Rent Payment,-907.82,housing,expense,current
2022-11-02,Pret A Manger,-9.36,eating_out,expense,current
2022-11-02,Council Tax,-120.21,housing,expense,current
2022-11-04,Spotify,-16.56,subscriptions,expense,current
2022-11-06,Tesco Superstore,-31.65,groceries,expense,current
2022-11-08,TfL Travel Charge,-13.34,transport,expense,current
2022-11-09,Trainline,-82.58,transport,expense,credit_card
2022-11-09,Boots Pharmacy,-34.03,health,expense,current
2022-11-11,TfL Travel Charge,-5.51,transport,expense,current
2022-11-12,Octopus Energy,-143.61,utilities,expense,current
2022-11-20,Thames Water,-38.67,utilities,expense,current
